genome	organism	genes_before_filter	genes_after_filter	difference
yHMPu5000034631_martiniozyma_abiesophila_161215	martiniozyma_abiesophila	12589	11024	1565
yHMPu5000034632_candida_athensensis_160519	candida_athensensis	4611	4606	5
yHMPu5000034635_nadsonia_fulvescens_160519	nadsonia_fulvescens	7096	6184	912
yHMPu5000034636_ogataea_nitratoaversa_160519	ogataea_nitratoaversa	5880	5799	81
yHMPu5000034637_ogataea_populiabae_160519	ogataea_populiabae	5489	5468	21
yHMPu5000034643_candida_schatavii_160519	candida_schatavii	5660	5492	168
yHMPu5000034646_wickerhamiella_cacticola_160519	wickerhamiella_cacticola	5846	5573	273
yHMPu5000034648_candida_restingae_160519	candida_restingae	5371	5354	17
yHMPu5000034654_aciculoconidium_aculeatum_160519	aciculoconidium_aculeatum	7084	6944	140
yHMPu5000034655_botryozyma_nematodophila_160519	botryozyma_nematodophila	11043	10241	802
yHMPu5000034660_diddensiella_caesifluorescens_160519	diddensiella_caesifluorescens	6246	6174	72
yHMPu5000034661_dipodascus_albidus_160519	dipodascus_albidus	7267	7125	142
yHMPu5000034665_kodamaea_laetipori_160519	kodamaea_laetipori	6050	6037	13
yHMPu5000034667_blastobotrys_serpentis_160519	blastobotrys_serpentis	6716	6639	77
yHMPu5000034669_blastobotrys_raffinofermentans_160519	blastobotrys_raffinofermentans	6242	6038	204
yHMPu5000034670_blastobotrys_proliferans_160519	blastobotrys_proliferans	7445	7439	6
yHMPu5000034671_blastobotrys_peoriensis_160519	blastobotrys_peoriensis	6289	6287	2
yHMPu5000034673_blastobotrys_nivea_160519	blastobotrys_nivea	9671	9657	14
yHMPu5000034674_blastobotrys_muscicola_160519	blastobotrys_muscicola	6761	6701	60
yHMPu5000034675_blastobotrys_mokoenaii_160519	blastobotrys_mokoenaii	6191	6137	54
yHMPu5000034681_blastobotrys_americana_160519	blastobotrys_americana	5788	5778	10
yHMPu5000034709_kluyveromyces_aestuarii_160519	kluyveromyces_aestuarii	4833	4822	11
yHMPu5000034710_kluyveromyces_dobzhanskii_160519	kluyveromyces_dobzhanskii	4882	4860	22
yHMPu5000034742_lipomyces_suomiensis_160519	lipomyces_suomiensis	6211	6206	5
yHMPu5000034748_lipomyces_oligophaga_160519	lipomyces_oligophaga	5873	5870	3
yHMPu5000034749_lipomyces_mesembrius_160519	lipomyces_mesembrius	7511	7493	18
yHMPu5000034754_lipomyces_arxii_160519	lipomyces_arxii	8351	8243	108
yHMPu5000034757_lipomyces_doorenjongii_160519	lipomyces_doorenjongii	5910	5864	46
yHMPu5000034758_lipomyces_japonicus_160519	lipomyces_japonicus	6513	6404	109
yHMPu5000034760_lipomyces_kononenkoae_160519	lipomyces_kononenkoae	7718	7673	45
yHMPu5000034761_lipomyces_lipofer_160519	lipomyces_lipofer	7989	7577	412
yHMPu5000034862_zygotorulaspora_florentina_160519	zygotorulaspora_florentina	5014	4977	37
yHMPu5000034865_zygosaccharomyces_kombuchaensis_160519	zygosaccharomyces_kombuchaensis	4527	4509	18
yHMPu5000034866_zygosaccharomyces_bisporus_160519	zygosaccharomyces_bisporus	4717	4696	21
yHMPu5000034875_tetrapisispora_fleetii_160519	tetrapisispora_fleetii	5563	5362	201
yHMPu5000034876_tetrapisispora_iriomotensis_160519	tetrapisispora_iriomotensis	5775	5235	540
yHMPu5000034877_tetrapisispora_namnaonensis_160519	tetrapisispora_namnaonensis	5748	5533	215
yHMPu5000034881_torulaspora_pretoriensis_160519	torulaspora_pretoriensis	5670	4648	1022
yHMPu5000034883_peterozyma_xylosa_160519	peterozyma_xylosa	5982	5966	16
yHMPu5000034884_peterozyma_toletana_160519	peterozyma_toletana	6276	6169	107
yHMPu5000034885_ogataea_zsoltii_160519	ogataea_zsoltii	5466	5454	12
yHMPu5000034886_ogataea_trehalophila_160519	ogataea_trehalophila	5807	5757	50
yHMPu5000034887_ogataea_trehaloabstinens_160519	ogataea_trehaloabstinens	5641	5624	17
yHMPu5000034890_ogataea_ramenticola_160519	ogataea_ramenticola	5890	5806	84
yHMPu5000034891_ogataea_pini_160519	ogataea_pini	5407	5398	9
yHMPu5000034892_ogataea_pilisensis_160519	ogataea_pilisensis	5782	5752	30
yHMPu5000034893_ogataea_philodendra_160519	ogataea_philodendra	4715	4702	13
yHMPu5000034897_ogataea_glucozyma_160519	ogataea_glucozyma	5858	5568	290
yHMPu5000034899_ogataea_kodamae_160519	ogataea_kodamae	4551	4542	9
yHMPu5000034901_ogataea_methylivora_160519	ogataea_methylivora	6089	5617	472
yHMPu5000034902_ogataea_minuta_160519	ogataea_minuta	4457	4452	5
yHMPu5000034903_ogataea_naganishii_160519	ogataea_naganishii	5340	5326	14
yHMPu5000034904_ogataea_nonfermentans_160519	ogataea_nonfermentans	5798	4952	846
yHMPu5000034918_nakazawaea_holstii_160519	nakazawaea_holstii	6206	6131	75
yHMPu5000034932_kuraishia_ogatae_160519	kuraishia_ogatae	5573	5560	13
yHMPu5000034933_kuraishia_molischiana_160519	kuraishia_molischiana	5537	5529	8
yHMPu5000034939_komagataella_pseudopastoris_160519	komagataella_pseudopastoris	4604	4600	4
yHMPu5000034946_ambrosiozyma_oregonensis_160519	ambrosiozyma_oregonensis	6680	6560	120
yHMPu5000034947_ambrosiozyma_philentoma_160519	ambrosiozyma_philentoma	6975	6937	38
yHMPu5000034950_citeromyces_hawaiiensis_160519	citeromyces_hawaiiensis	7349	6541	808
yHMPu5000034952_citeromyces_siamensis_160519	citeromyces_siamensis	12786	11757	1029
yHMPu5000034957_hanseniaspora_osmophila_160519	hanseniaspora_osmophila	5050	4814	236
